Feature ID	Taxon	Confidence
A01_hvs_727_8F_5095511_015.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.9906622949162096
A01_hvs_75_8F_5347638_015.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9999999999999996
A01_hvs_KL1_8F_4338589_015.ab1	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium; s__candidae	0.9264463733306902
A02_hvs_246_8F_5347638_016.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8595707084965785
A02_hvs_380_8F_5095511_016.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8508894820199806
A02_hvs_792_8F_5095511_016.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8387259352112573
A02_hvs_KW1_8F_4338589_016.ab1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.9999999999582199
A03_hvs_344_8F_5347638_031.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9999999999999954
A03_hvs_405_8F_5095511_031.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8413758817185774
A03_hvs_820_8F_5095511_031.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8340335160483969
A03_hvs_AL3_8F_4338589_031.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas	0.9999995537695117
A04_hvs_408_8F_5347638_032.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella	0.8020313732330664
A04_hvs_428_8F_5095511_032.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella	0.9050765983091604
A04_hvs_66_8F_4338589_032.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.9233895657123679
A04_hvs_843_8F_5095511_032.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8336713068977832
A05_hvs_472_8F_5095511_047.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8502155551573806
A05_hvs_875_8F_5095511_047.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8312935028636977
A05_hvs_89_8F_4338589_047.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella	0.9452100236744634
A06_hvs_107_8F_4338589_048.ab1	k__Bacteria	0.9711029024384654
A06_hvs_486_8F_5095511_048.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	0.7838471442422904
A06_hvs_613_8F_5347638_048.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.9049854035440197
A06_hvs_900_8F_5095511_048.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8462011041212866
A07_hvs_189_8F_4338589_063.ab1	Unassigned	0.8889214238107933
A07_hvs_510_8F_5095511_063.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8382980886125272
A07_hvs_700_8F_5347638_063.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8645435195746471
A07_hvs_959_8F_5095511_063.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	0.9758169286986604
A08_hvs_215_8F_4338589_064.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	0.7040149503074444
A08_hvs_550_8F_5095511_064.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia	0.9999838671003577
A08_hvs_874_8F_5347638_064.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8413554024370598
A09_hvs_248_8F_4338589_079.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Proteus; s__mirabilis	0.9960066320558182
A09_hvs_582_8F_5095511_079.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8462011041212866
A09_hvs_982_8F_5347638_079.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8636240774629457
A10_hvs_289_8F_4338589_080.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	0.7995908937128964
A10_hvs_611_8F_5095511_080.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.8276208607455149
A11_hvs_316_8F_4338589_095.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Providencia; s__vermicola	0.8099433354352277
A11_hvs_636_8F_5095511_095.ab1	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella	0.9184398627689592
